file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,5
style.css,2,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,40
style.css,3,css,fc7c31fa,r4tangUCSD,2025-01-18,16:43:27,-08:00,2025-01-18T16:43:27-08:00,0,33
style.css,4,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,18
style.css,5,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,0
style.css,6,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,0
style.css,7,css,fd4a63ce,r4tangUCSD,2025-01-18,16:16:59,-08:00,2025-01-18T16:16:59-08:00,0,5
style.css,8,css,fd4a63ce,r4tangUCSD,2025-01-18,16:16:59,-08:00,2025-01-18T16:16:59-08:00,0,44
style.css,9,css,fd4a63ce,r4tangUCSD,2025-01-18,16:16:59,-08:00,2025-01-18T16:16:59-08:00,0,43
style.css,10,css,fd4a63ce,r4tangUCSD,2025-01-18,16:16:59,-08:00,2025-01-18T16:16:59-08:00,0,1
style.css,11,css,fd4a63ce,r4tangUCSD,2025-01-18,16:16:59,-08:00,2025-01-18T16:16:59-08:00,0,24
style.css,12,css,fd4a63ce,r4tangUCSD,2025-01-18,16:16:59,-08:00,2025-01-18T16:16:59-08:00,0,16
style.css,13,css,fd4a63ce,r4tangUCSD,2025-01-18,16:16:59,-08:00,2025-01-18T16:16:59-08:00,0,19
style.css,14,css,fd4a63ce,r4tangUCSD,2025-01-18,16:16:59,-08:00,2025-01-18T16:16:59-08:00,0,13
style.css,15,css,fd4a63ce,r4tangUCSD,2025-01-18,16:16:59,-08:00,2025-01-18T16:16:59-08:00,0,0
style.css,16,css,fd4a63ce,r4tangUCSD,2025-01-18,16:16:59,-08:00,2025-01-18T16:16:59-08:00,0,0
style.css,17,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,19
style.css,18,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,18
style.css,19,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,9
style.css,20,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,11
style.css,21,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,14
style.css,22,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,20
style.css,23,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,21
style.css,24,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,0
style.css,25,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,0
style.css,26,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,4
style.css,27,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,13
style.css,28,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,19
style.css,29,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,24
style.css,30,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,26
style.css,31,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,45
style.css,32,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,0
style.css,33,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,0
style.css,34,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,6
style.css,35,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,7
style.css,36,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,21
style.css,37,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,14
style.css,38,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,18
style.css,39,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,14
style.css,40,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,0
style.css,41,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,0
style.css,42,css,fc7c31fa,r4tangUCSD,2025-01-18,16:43:27,-08:00,2025-01-18T16:43:27-08:00,0,12
style.css,43,css,fc7c31fa,r4tangUCSD,2025-01-18,16:43:27,-08:00,2025-01-18T16:43:27-08:00,0,26
style.css,44,css,fc7c31fa,r4tangUCSD,2025-01-18,16:43:27,-08:00,2025-01-18T16:43:27-08:00,0,26
style.css,45,css,fc7c31fa,r4tangUCSD,2025-01-18,16:43:27,-08:00,2025-01-18T16:43:27-08:00,0,40
style.css,46,css,492650e0,r4tangUCSD,2025-01-25,21:15:34,-08:00,2025-01-25T21:15:34-08:00,0,70
style.css,47,css,fc7c31fa,r4tangUCSD,2025-01-18,16:43:27,-08:00,2025-01-18T16:43:27-08:00,0,21
style.css,48,css,fc7c31fa,r4tangUCSD,2025-01-18,16:43:27,-08:00,2025-01-18T16:43:27-08:00,0,0
style.css,49,css,fc7c31fa,r4tangUCSD,2025-01-18,16:43:27,-08:00,2025-01-18T16:43:27-08:00,0,0
style.css,50,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,13
style.css,51,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,26
style.css,52,css,d8b6dec5,r4tangUCSD,2025-01-18,16:35:56,-08:00,2025-01-18T16:35:56-08:00,0,26
style.css,53,css,2f436271,r4tangUCSD,2025-01-25,21:10:14,-08:00,2025-01-25T21:10:14-08:00,0,45
